League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA
USA - MLS,15/07/2023,20:30,Atlanta Utd,Orlando City,2.0,3.6,3.6,1.67,2.15,1.57,2.25,0.4214743589743589,0.3080990165925213,0.7310029899381495,0.42933737742219275,0.27954177959540977,0.6511004964762709,0.498148847232217,0.2873307020558981,0.5767968824024119,0.37852159742969904,0.29299258675621853,0.7740445690437376,0.5,0.2777777777777778,0.2777777777777778,0.5988023952095809,0.46511627906976744,0.29772917102591473
USA - MLS,15/07/2023,20:30,CF Montreal,Charlotte,2.05,3.6,3.4,1.88,1.98,1.7,2.05,0.36348370927318296,0.1840203884626743,0.5062685995766879,0.4295001546077587,0.2892942470812447,0.673560286248192,0.7324561403508771,0.9111413262862161,1.2439534275045347,0.6278002699055331,0.4054212327493615,0.6457805964472847,0.48780487804878053,0.2777777777777778,0.29411764705882354,0.5319148936170213,0.5050505050505051,0.27004780022321295
USA - MLS,15/07/2023,20:30,FC Cincinnati,Nashville SC,1.91,3.5,4.0,1.95,1.9,1.8,1.95,0.4765582243843113,0.262519198062245,0.5508648988303713,0.2888858769314177,0.08974592138946602,0.31066219762197633,0.5200111032487429,0.37042682313595443,0.7123440650050196,0.4111005525639671,0.35133268571602033,0.854614968344887,0.5235602094240838,0.2857142857142857,0.25,0.5128205128205129,0.5263157894736842,0.3438717329692312
USA - MLS,15/07/2023,20:30,New England Revolution,DC United,2.05,3.5,3.5,1.73,2.08,1.62,2.2,0.601833435452703,0.3079898163830905,0.5117525850843075,0.35071464483229187,0.3335010224375073,0.9509184385413505,0.35190769634194313,0.5343922397830615,1.518557977952835,0.6907407407407408,0.3734892510614286,0.540708299123784,0.48780487804878053,0.2857142857142857,0.2857142857142857,0.5780346820809249,0.4807692307692307,0.26981706124223526
USA - MLS,15/07/2023,20:30,Philadelphia Union,New York City,1.91,3.6,4.0,1.88,1.98,1.75,2.0,0.5814802844214608,0.21127645067212844,0.3633424147515788,0.2470576796961979,0.1280134134364454,0.5181519295164637,0.5839925963519121,0.5619050722206669,0.9621784175531989,0.49902777777777774,0.39160480674799286,0.7847354880560948,0.5235602094240838,0.2777777777777778,0.25,0.5319148936170213,0.5050505050505051,0.3507941306568433
USA - MLS,15/07/2023,21:30,Chicago Fire,Toronto FC,1.65,4.0,5.0,1.75,2.05,1.75,2.0,0.4589428115743905,0.2746169151448231,0.5983684856131801,0.42139518249358066,0.31878271506925565,0.7564934966339152,0.5495250344096212,0.4722830582183685,0.8594386581964604,0.5021899668958494,0.4108813545942393,0.8181791387310873,0.6060606060606061,0.25,0.2,0.5714285714285714,0.48780487804878053,0.5135777407589655
USA - MLS,15/07/2023,21:30,Minnesota United,Los Angeles FC,2.5,3.75,2.55,1.65,2.2,1.57,2.25,0.3745753272069062,0.1946311960356314,0.5196049549951322,0.4556354006999269,0.29198641707395034,0.6408334748033487,0.37625395893384567,0.14760001250711569,0.3922882643556908,0.44376992516527397,0.23535637763911557,0.5303567553647567,0.4,0.26666666666666666,0.3921568627450981,0.6060606060606061,0.45454545454545453,0.17308624363774702
USA - MLS,15/07/2023,22:30,Austin FC,Sporting Kansas City,2.2,3.5,3.2,1.67,2.15,1.57,2.25,0.5451082251082251,0.2201563916649133,0.40387648089735523,0.32029639895388606,0.1634786854498575,0.5103981374245609,0.7034735270029387,0.6929983757677007,0.985109388153004,0.4936507936507937,0.38061821576789884,0.7710272538063545,0.45454545454545453,0.2857142857142857,0.3125,0.5988023952095809,0.46511627906976744,0.21111881995816273
USA - MLS,15/07/2023,22:30,Colorado Rapids,Houston Dynamo,2.2,3.5,3.25,1.9,1.95,1.7,2.05,0.308061821219716,0.2045320261833878,0.6639317568583463,0.5207576843446409,0.22676217028472567,0.43544661385093064,0.6795024246257644,0.41247712342641424,0.6070281848568617,0.30879966715206986,0.3150220453733831,1.0201502102599385,0.45454545454545453,0.2857142857142857,0.3076923076923077,0.5263157894736842,0.5128205128205129,0.2145514158417597
USA - MLS,15/07/2023,22:30,Real Salt Lake,New York Red Bulls,1.91,3.6,3.8,1.93,1.93,1.8,1.95,0.37983420088683245,0.2728641827405392,0.7183770763755847,0.495483980761677,0.3246235378563596,0.655164547110758,0.2774485715662186,0.2313845724732723,0.8339728374418672,0.5788359788359788,0.35856122096994,0.6194522007615965,0.5235602094240838,0.2777777777777778,0.2631578947368421,0.5181347150259068,0.5181347150259068,0.33666101110470503
